Baseline 100%T,,Volume dithionite-0,,Volume dithionite-1,,Volume dithionite-2,,Volume dithionite-3,,Volume dithionite-4,,Volume dithionite-5,,Volume dithionite-6,,Volume dithionite-7,,Volume dithionite-8,,Volume dithionite-9,,Volume dithionite-10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
784.0004272,0.01787859015,784.0004272,0.03522932902,784.0004272,0.03633080795,784.0004272,0.03917437047,784.0004272,0.03832217678,784.0004272,0.03903625906,784.0004272,0.04019616917,784.0004272,0.03646020591,784.0004272,0.04360298812,784.0004272,0.03817175701,784.0004272,0.03925282136,784.0004272,0.04217115045,
782.9845581,0.01785274968,782.9845581,0.03531366959,782.9845581,0.03449353576,782.9845581,0.04011274874,782.9845581,0.03985001519,782.9845581,0.03823693842,782.9845581,0.03987115249,782.9845581,0.03854990005,782.9845581,0.04200185835,782.9845581,0.04161560163,782.9845581,0.03888151422,782.9845581,0.04184705019,
782.0033569,0.01835842431,782.0033569,0.03404837474,782.0033569,0.03519715741,782.0033569,0.04019196704,782.0033569,0.04054620862,782.0033569,0.03911864758,782.0033569,0.03828372806,782.0033569,0.03645989671,782.0033569,0.04304268584,782.0033569,0.04060216993,782.0033569,0.03915094212,782.0033569,0.0414600186,
780.9866943,0.01830007322,780.9866943,0.03437864408,780.9866943,0.03585666046,780.9866943,0.04062180966,780.9866943,0.04031445459,780.9866943,0.03887854144,780.9866943,0.03968479857,780.9866943,0.03671467304,780.9866943,0.04344952479,780.9866943,0.04104317352,780.9866943,0.03924386948,780.9866943,0.03955369815,
780.0047607,0.01770081557,780.0047607,0.03696409985,780.0047607,0.03571456671,780.0047607,0.03906440735,780.0047607,0.04076039791,780.0047607,0.03824095428,780.0047607,0.03975664824,780.0047607,0.03719948605,780.0047607,0.04272701591,780.0047607,0.04005543143,780.0047607,0.04094747454,780.0047607,0.0421714671,
778.9873047,0.01708657853,778.9873047,0.03572755307,778.9873047,0.03735597059,778.9873047,0.03986241296,778.9873047,0.04263862595,778.9873047,0.04098983109,778.9873047,0.04158879071,778.9873047,0.03923004121,778.9873047,0.04531872645,778.9873047,0.04253295064,778.9873047,0.0415879935,778.9873047,0.04345047101,
778.0046387,0.01815076172,778.0046387,0.03689206392,778.0046387,0.03469211236,778.0046387,0.04022243619,778.0046387,0.04015499726,778.0046387,0.04030610621,778.0046387,0.04019375518,778.0046387,0.03834219649,778.0046387,0.04384852946,778.0046387,0.04077293724,778.0046387,0.04041152447,778.0046387,0.04242704436,
776.9863892,0.01777159795,776.9863892,0.03608230501,776.9863892,0.03741081804,776.9863892,0.03929371014,776.9863892,0.04089752585,776.9863892,0.03908703849,776.9863892,0.04155213013,776.9863892,0.03880032524,776.9863892,0.04408604279,776.9863892,0.04329669103,776.9863892,0.04014435038,776.9863892,0.04225263,
776.0028687,0.01758219488,776.0028687,0.0371186398,776.0028687,0.03659609333,776.0028687,0.04218575731,776.0028687,0.04357064888,776.0028687,0.03955588117,776.0028687,0.04162742198,776.0028687,0.03715538234,776.0028687,0.04454227537,776.0028687,0.04169289768,776.0028687,0.04193613678,776.0028687,0.04496401548,
774.9839478,0.01652206481,774.9839478,0.03812294826,774.9839478,0.03855224699,774.9839478,0.04142493382,774.9839478,0.04159201309,774.9839478,0.04155338556,774.9839478,0.04147673771,774.9839478,0.03975786641,774.9839478,0.04571269453,774.9839478,0.04407289252,774.9839478,0.0430011861,774.9839478,0.04539418593,
773.9997559,0.01827871613,773.9997559,0.03600107506,773.9997559,0.03754968569,773.9997559,0.04096175358,773.9997559,0.04131944105,773.9997559,0.04042297229,773.9997559,0.04021281004,773.9997559,0.03768323362,773.9997559,0.04354454949,773.9997559,0.04263348505,773.9997559,0.04070376605,773.9997559,0.0431483984,
773.0151367,0.01736843772,773.0151367,0.03668343276,773.0151367,0.03699242696,773.0151367,0.04130221903,773.0151367,0.04146454856,773.0151367,0.04144623503,773.0151367,0.04060566425,773.0151367,0.03963701054,773.0151367,0.04491082206,773.0151367,0.04389011115,773.0151367,0.04323837906,773.0151367,0.0443697013,
771.9949951,0.01809168234,771.9949951,0.03595807776,771.9949951,0.03721860424,771.9949951,0.04198092967,771.9949951,0.04341296479,771.9949951,0.04052387178,771.9949951,0.04054288194,771.9949951,0.038586054,771.9949951,0.04427418485,771.9949951,0.04108511284,771.9949951,0.03985693678,771.9949951,0.04373113811,
771.0097046,0.01842682995,771.0097046,0.03618557751,771.0097046,0.03675526381,771.0097046,0.03984607011,771.0097046,0.04107273743,771.0097046,0.0401971899,771.0097046,0.04255893081,771.0097046,0.03891007975,771.0097046,0.04408105835,771.0097046,0.04387916997,771.0097046,0.04014173523,771.0097046,0.04382493347,
769.9888306,0.01857042685,769.9888306,0.03714796528,769.9888306,0.03538819775,769.9888306,0.04034354165,769.9888306,0.04218530282,769.9888306,0.04301167652,769.9888306,0.04063479975,769.9888306,0.03845115378,769.9888306,0.04304634407,769.9888306,0.04339170828,769.9888306,0.03979193792,769.9888306,0.04306383803,
769.0027466,0.01767447405,769.0027466,0.03615384176,769.0027466,0.03759077936,769.0027466,0.04152048379,769.0027466,0.0420679301,769.0027466,0.03996766731,769.0027466,0.0423797816,769.0027466,0.0388626866,769.0027466,0.04560793564,769.0027466,0.04383197799,769.0027466,0.04210688919,769.0027466,0.04583067819,
